#,id,compound,pubchem_cid,cas,smiles,inchikey,chebi,vendor_crosscheck,hayashi_sds_mapping,stereo_tautomer_policy,final_structure_source
1,ethyl-acetate,Ethyl acetate,8857,141-78-6,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,CHEBI:27750,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-01; SHOCHU-03; WINE-S-11; BEER-09,none/unspecified; no wedge,LOCK: PubChem CID 8857 + CHEBI:27750 + CAS/vendor concordance -> RDKit
2,isoamyl-acetate,Isoamyl acetate,31276,123-92-2,CC(C)CCOC(=O)C,MLFHJEHSLIIPHL-UHFFFAOYSA-N,CHEBI:31725,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-02; SHOCHU-01; WINE-S-08,none/unspecified; no wedge,LOCK: PubChem CID 31276 + CHEBI:31725 + CAS/vendor concordance -> RDKit
3,ethyl-hexanoate,Ethyl hexanoate,31265,123-66-0,CCCCCC(=O)OCC,SHZIWNPUGXLXDT-UHFFFAOYSA-N,CHEBI:86055,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-03; SHOCHU-02; WINE-P-04; BEER-10,none/unspecified; no wedge,LOCK: PubChem CID 31265 + CHEBI:86055 + CAS/vendor concordance -> RDKit
4,ethanol,Ethanol,702,64-17-5,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CHEBI:16236,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-04,none/unspecified; no wedge,LOCK: PubChem CID 702 + CHEBI:16236 + CAS/vendor concordance -> RDKit
5,isoamyl-alcohol,3-Methyl-1-butanol,31260,123-51-3,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,CHEBI:15837,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-05; SHOCHU-17; WINE-S-09; BEER-17,none/unspecified; no wedge,LOCK: PubChem CID 31260 + CHEBI:15837 + CAS/vendor concordance -> RDKit
6,phenethyl-alcohol,2-Phenylethanol,6054,60-12-8,C1=CC=C(C=C1)CCO,WRMNZCZEMHIOCP-UHFFFAOYSA-N,CHEBI:49000,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-06; SHOCHU-04; WINE-P-06; BEER-02,none/unspecified; no wedge,LOCK: PubChem CID 6054 + CHEBI:49000 + CAS/vendor concordance -> RDKit
7,acetaldehyde,Acetaldehyde,177,75-07-0,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,CHEBI:15343,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-07; SHOCHU-15; WINE-P-10; BEER-05,none/unspecified; no wedge,LOCK: PubChem CID 177 + CHEBI:15343 + CAS/vendor concordance -> RDKit
8,isovaleraldehyde,3-Methylbutanal,11552,590-86-3,CC(C)CC=O,YGHRJJRRZDOVPD-UHFFFAOYSA-N,CHEBI:16638,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-08; SHOCHU-16,none/unspecified; no wedge,LOCK: PubChem CID 11552 + CHEBI:16638 + CAS/vendor concordance -> RDKit
9,4vg,4-Vinylguaiacol,332,7786-61-0,COC1=C(C=CC(=C1)C=C)O,YOMSJEATGXXYPX-UHFFFAOYSA-N,CHEBI:42438,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-09; SHOCHU-11; WINE-P-14; BEER-04,none/unspecified; no wedge,LOCK: PubChem CID 332 + CHEBI:42438 + CAS/vendor concordance -> RDKit
10,sotolon,Sotolon,62835,28664-35-9,CC1C(=C(C(=O)O1)O)C,UNYNVICDCJHOPO-UHFFFAOYSA-N,CHEBI:67890,TCI D5850: Sotolon / CAS 28664-35-9 concordant; artwork not reused,SAKE-10; SHOCHU-08; WINE-S-18,SDS uses generic Sotolon + CAS 28664-35-9 with no R/S designation; render stereo-unspecified (no wedge),LOCK-NO-WEDGE: PubChem CID 62835 + CHEBI:67890 + TCI D5850 + Hayashi SDS WAS-18/BC-08; generic standard has no R/S designation -> RDKit
11,ethanethiol,Ethanethiol,6343,75-08-1,CCS,DNJIEGIFACGWOD-UHFFFAOYSA-N,CHEBI:46511,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-11; WINE-P-08; BEER-16,none/unspecified; no wedge,LOCK: PubChem CID 6343 + CHEBI:46511 + CAS/vendor concordance -> RDKit
12,dms,Dimethyl sulfide,1068,75-18-3,CSC,QMMFVYPAHWMCMS-UHFFFAOYSA-N,CHEBI:17437,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-12; WINE-P-09; BEER-08,none/unspecified; no wedge,LOCK: PubChem CID 1068 + CHEBI:17437 + CAS/vendor concordance -> RDKit
13,dmts,Dimethyl trisulfide,19310,3658-80-8,CSSSC,YWHLKYXPLRWGSE-UHFFFAOYSA-N,CHEBI:4614,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-13; SHOCHU-12,none/unspecified; no wedge,LOCK: PubChem CID 19310 + CHEBI:4614 + CAS/vendor concordance -> RDKit
14,tca246,"2,4,6-Trichloroanisole",6884,87-40-1,COC1=C(C=C(C=C1Cl)Cl)Cl,WCVOGSZTONGSQY-UHFFFAOYSA-N,CHEBI:19333,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-14; SHOCHU-20; WINE-S-16,none/unspecified; no wedge,LOCK: PubChem CID 6884 + CHEBI:19333 + CAS/vendor concordance -> RDKit
15,diacetyl,"Diacetyl / 2,3-butanedione",650,431-03-8,CC(=O)C(=O)C,QSJXEFYPDANLFS-UHFFFAOYSA-N,CHEBI:16583,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-15; SHOCHU-14; WINE-S-10; BEER-07,none/unspecified; no wedge,LOCK: PubChem CID 650 + CHEBI:16583 + CAS/vendor concordance -> RDKit
16,hexanoic-acid,Hexanoic acid,8892,142-62-1,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,CHEBI:30776,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-16,none/unspecified; no wedge,LOCK: PubChem CID 8892 + CHEBI:30776 + CAS/vendor concordance -> RDKit
17,acetic-acid,Acetic acid,176,64-19-7,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CHEBI:15366,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-17; SHOCHU-13; WINE-P-11,none/unspecified; no wedge,LOCK: PubChem CID 176 + CHEBI:15366 + CAS/vendor concordance -> RDKit
