no,id,compound,smiles,svg_file
1,ethyl-acetate,Ethyl acetate,CCOC(=O)C,ethyl-acetate.svg
2,isoamyl-acetate,Isoamyl acetate,CC(C)CCOC(=O)C,isoamyl-acetate.svg
3,ethyl-hexanoate,Ethyl hexanoate,CCCCCC(=O)OCC,ethyl-hexanoate.svg
4,ethanol,Ethanol,CCO,ethanol.svg
5,isoamyl-alcohol,3-Methyl-1-butanol,CC(C)CCO,isoamyl-alcohol.svg
6,phenethyl-alcohol,2-Phenylethanol,C1=CC=C(C=C1)CCO,phenethyl-alcohol.svg
7,acetaldehyde,Acetaldehyde,CC=O,acetaldehyde.svg
8,isovaleraldehyde,3-Methylbutanal,CC(C)CC=O,isovaleraldehyde.svg
9,4vg,4-Vinylguaiacol,COC1=C(C=CC(=C1)C=C)O,4vg.svg
10,sotolon,Sotolon,CC1C(=C(C(=O)O1)O)C,sotolon.svg
11,ethanethiol,Ethanethiol,CCS,ethanethiol.svg
12,dms,Dimethyl sulfide,CSC,dms.svg
13,dmts,Dimethyl trisulfide,CSSSC,dmts.svg
14,tca246,"2,4,6-Trichloroanisole",COc1cc(Cl)c(Cl)cc1Cl,tca246.svg
15,diacetyl,Diacetyl,CC(=O)C(=O)C,diacetyl.svg
16,hexanoic-acid,Hexanoic acid,CCCCCC(=O)O,hexanoic-acid.svg
17,acetic-acid,Acetic acid,CC(=O)O,acetic-acid.svg
18,butyric-acid,Butyric acid,CCCC(=O)O,butyric-acid.svg
19,isovaleric-acid,Isovaleric acid,CC(C)CC(=O)O,isovaleric-acid.svg
20,linalool,Linalool,CC(=CCCC(C)(C=C)O)C,linalool.svg
21,beta-damascenone,β-Damascenone,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,beta-damascenone.svg
22,vanillin,Vanillin,COC1=C(C=CC(=C1)C=O)O,vanillin.svg
23,edmp,"2-Ethyl-3,5-dimethylpyrazine",CCC1=NC=C(N=C1C)C,edmp.svg
24,furfural,Furfural,C1=COC(=C1)C=O,furfural.svg
25,ethyl-laurate,Ethyl laurate,CCCCCCCCCCCC(=O)OCC,ethyl-laurate.svg
26,octenol,1-Octen-3-ol,C=CC(O)CCCCC,octenol.svg
27,furaneol,Furaneol,CC1C(=O)C(=C(O1)C)O,furaneol.svg
28,ibmp,2-Isobutyl-3-methoxypyrazine,CC(C)CC1=NC=CN=C1OC,ibmp.svg
29,3mh,3-Mercaptohexan-1-ol,CCCC(CCO)S,3mh.svg
30,beta-ionone,β-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,beta-ionone.svg
31,tdn,"1,1,6-Trimethyl-1,2-dihydronaphthalene",CC1(C)CCC2=C(C1)C=CC(C)=C2,tdn.svg
32,4vp,4-Vinylphenol,C=CC1=CC=C(C=C1)O,4vp.svg
33,4eg,4-Ethylguaiacol,COC1=C(C=CC(=C1)CC)O,4eg.svg
34,2ap,2-Acetyl-1-pyrroline,CC(=O)C1=NCCC1,2ap.svg
35,so2,Sulfur dioxide,O=S=O,so2.svg
36,eugenol,Eugenol,C=CCc1ccc(O)c(OC)c1,eugenol.svg
37,hexadienol,"2,4-Hexadien-1-ol",C/C=C/C=C/CO,hexadienol.svg
38,cis3hexenol,cis-3-Hexen-1-ol,CC/C=C\CCO,cis3hexenol.svg
39,geraniol,Geraniol,CC(=CCC/C(=C/CO)/C)C,geraniol.svg
40,isobutanol,Isobutanol,CC(C)CO,isobutanol.svg
41,h2s,Hydrogen sulfide,[H][S][H],h2s.svg
42,4ep,4-Ethylphenol,CCc1ccc(O)cc1,4ep.svg
43,athp,"2-Acetyl-3,4,5,6-tetrahydropyridine",CC(=O)C1=NCCCC1,athp.svg
44,geosmin,Geosmin,C[C@H]1CCC[C@@]2([C@@]1(CCCC2)O)C,geosmin.svg
45,styrene,Styrene,C=CC1=CC=CC=C1,styrene.svg
46,guaiacol,Guaiacol,COC1=CC=CC=C1O,guaiacol.svg
47,tca236,"2,3,6-Trichloroanisole",COc1c(Cl)ccc(Cl)c1Cl,tca236.svg
48,3mbt,3-Methyl-2-buten-1-thiol,CC(=CCS)C,3mbt.svg
49,trans2nonenal,trans-2-Nonenal,CCCCCC/C=C/C=O,trans2nonenal.svg
50,citronellol,Citronellol,CC(CCC=C(C)C)CCO,citronellol.svg
51,dcp26,"2,6-Dichlorophenol",C1=CC(=C(C(=C1)Cl)O)Cl,dcp26.svg
